id,height,height_vs_avg
126794,75,Above Avg
126842,81,Above Avg
127001,76,Above Avg
127167,64,Below Avg
127260,51,Below Avg
127284,71,Above Avg
127288,59,Below Avg
127368,77,Above Avg
127412,62,Below Avg
127441,62,Below Avg
127460,72,Above Avg
127536,64,Below Avg
127851,62,Below Avg
128040,79,Above Avg
128169,61,Below Avg
128243,60,Below Avg
128359,79,Above Avg
128492,57,Below Avg
128519,77,Above Avg
128666,59,Below Avg
128697,67,Above Avg
128963,58,Below Avg
128971,77,Above Avg
129107,60,Below Avg
129125,60,Below Avg
129753,50,Below Avg
129794,74,Above Avg
129848,59,Below Avg
130119,66,Below Avg
130160,54,Below Avg
130175,53,Below Avg
130177,72,Above Avg
130247,56,Below Avg
130374,50,Below Avg
130511,77,Above Avg
130553,66,Below Avg
130711,71,Above Avg
130797,67,Above Avg
130802,60,Below Avg
130874,55,Below Avg
131022,58,Below Avg
131193,79,Above Avg
131246,57,Below Avg
131316,65,Below Avg
131354,50,Below Avg
131546,63,Below Avg
131879,68,Above Avg
131970,71,Above Avg
132079,64,Below Avg
132088,82,Above Avg
132178,67,Above Avg
132215,75,Above Avg
132245,52,Below Avg
132441,50,Below Avg
132546,55,Below Avg
132934,64,Below Avg
132952,61,Below Avg
133088,75,Above Avg
133182,74,Above Avg
133225,70,Above Avg
133263,76,Above Avg
133355,73,Above Avg
133557,51,Below Avg
133831,56,Below Avg
133943,63,Below Avg
134084,75,Above Avg
134289,64,Below Avg
134362,50,Below Avg
134397,73,Above Avg
134401,82,Above Avg
134484,69,Above Avg
134747,75,Above Avg
134833,74,Above Avg
134891,58,Below Avg
135080,61,Below Avg
135105,61,Below Avg
135155,67,Above Avg
135362,75,Above Avg
135375,77,Above Avg
135407,67,Above Avg
135506,74,Above Avg
135545,78,Above Avg
135603,79,Above Avg
135753,51,Below Avg
135756,66,Below Avg
135786,61,Below Avg
135826,65,Below Avg
135886,81,Above Avg
136024,78,Above Avg
136059,73,Above Avg
136174,70,Above Avg
136549,72,Above Avg
136573,76,Above Avg
136607,52,Below Avg
136626,68,Above Avg
136678,64,Below Avg
136744,74,Above Avg
136806,59,Below Avg
136879,73,Above Avg
136943,73,Above Avg
136984,61,Below Avg
136993,70,Above Avg
137011,79,Above Avg
137105,75,Above Avg
137170,80,Above Avg
137217,78,Above Avg
137252,63,Below Avg
137308,57,Below Avg
137330,78,Above Avg
137365,54,Below Avg
137391,68,Above Avg
137537,58,Below Avg
137690,72,Above Avg
137717,71,Above Avg
137807,54,Below Avg
137919,60,Below Avg
137936,80,Above Avg
137987,72,Above Avg
138077,71,Above Avg
138095,60,Below Avg
138108,52,Below Avg
138154,61,Below Avg
138193,64,Below Avg
138228,76,Above Avg
138335,63,Below Avg
138384,66,Below Avg
138442,58,Below Avg
138462,81,Above Avg
138483,53,Below Avg
138666,51,Below Avg
138911,58,Below Avg
138968,54,Below Avg
139116,52,Below Avg
139252,62,Below Avg
139328,80,Above Avg
139390,57,Below Avg
139448,61,Below Avg
139551,76,Above Avg
139633,60,Below Avg
139639,54,Below Avg
139647,57,Below Avg
139659,57,Below Avg
139696,80,Above Avg
139705,79,Above Avg
139912,78,Above Avg
139921,51,Below Avg
140048,73,Above Avg
140209,67,Above Avg
140743,54,Below Avg
140799,51,Below Avg
140809,62,Below Avg
140810,55,Below Avg
140828,76,Above Avg
140880,57,Below Avg
140890,52,Below Avg
140891,68,Above Avg
140937,62,Below Avg
140981,73,Above Avg
140997,78,Above Avg
141011,52,Below Avg
141182,60,Below Avg
141220,70,Above Avg
141227,52,Below Avg
141484,51,Below Avg
141487,78,Above Avg
141509,75,Above Avg
141544,62,Below Avg
141588,70,Above Avg
141609,52,Below Avg
141659,79,Above Avg
142073,78,Above Avg
142076,61,Below Avg
142084,74,Above Avg
142108,58,Below Avg
142168,53,Below Avg
142204,55,Below Avg
142284,81,Above Avg
142413,78,Above Avg
142920,72,Above Avg
142931,51,Below Avg
142976,64,Below Avg
143134,54,Below Avg
143160,82,Above Avg
143216,79,Above Avg
143382,71,Above Avg
143489,68,Above Avg
143544,64,Below Avg
143697,68,Above Avg
143765,71,Above Avg
143946,78,Above Avg
143964,79,Above Avg
143993,80,Above Avg
144030,68,Above Avg
144111,65,Below Avg
144191,52,Below Avg
144214,58,Below Avg
144356,76,Above Avg
144391,59,Below Avg
144501,72,Above Avg
144561,80,Above Avg
144614,62,Below Avg
144697,67,Above Avg
144866,56,Below Avg
144896,69,Above Avg
144952,64,Below Avg
145029,54,Below Avg
145119,50,Below Avg
145188,67,Above Avg
145284,52,Below Avg
145301,56,Below Avg
145329,50,Below Avg
145356,63,Below Avg
145460,74,Above Avg
145606,68,Above Avg
145709,69,Above Avg
145756,57,Below Avg
145776,63,Below Avg
145861,52,Below Avg
145898,57,Below Avg
146075,72,Above Avg
146097,55,Below Avg
146111,58,Below Avg
146165,81,Above Avg
146234,55,Below Avg
146313,51,Below Avg
146315,62,Below Avg
146439,63,Below Avg
146454,53,Below Avg
146495,69,Above Avg
146629,55,Below Avg
146641,70,Above Avg
146796,70,Above Avg
146817,63,Below Avg
146892,50,Below Avg
146980,56,Below Avg
147014,82,Above Avg
147044,67,Above Avg
147051,64,Below Avg
147062,50,Below Avg
147279,63,Below Avg
147347,78,Above Avg
147476,58,Below Avg
147498,68,Above Avg
147514,71,Above Avg
147534,53,Below Avg
147651,66,Below Avg
148107,51,Below Avg
148129,76,Above Avg
148175,65,Below Avg
148208,82,Above Avg
148488,66,Below Avg
148556,69,Above Avg
148655,61,Below Avg
148698,51,Below Avg
148712,64,Below Avg
148775,79,Above Avg
148870,80,Above Avg
148885,60,Below Avg
149124,50,Below Avg
149232,51,Below Avg
149365,78,Above Avg
149427,67,Above Avg
149508,59,Below Avg
149661,73,Above Avg
149682,68,Above Avg
149838,60,Below Avg
149902,68,Above Avg
150059,74,Above Avg
150092,71,Above Avg
150152,72,Above Avg
150192,52,Below Avg
150390,59,Below Avg
150427,57,Below Avg
150510,62,Below Avg
150590,75,Above Avg
150904,77,Above Avg
151013,67,Above Avg
151048,62,Below Avg
151103,55,Below Avg
151148,64,Below Avg
151367,61,Below Avg
151532,57,Below Avg
151797,57,Below Avg
151798,51,Below Avg
151858,81,Above Avg
152187,81,Above Avg
152272,68,Above Avg
152330,65,Below Avg
152393,74,Above Avg
152449,62,Below Avg
152517,73,Above Avg
152534,73,Above Avg
152536,55,Below Avg
152751,57,Below Avg
152753,57,Below Avg
152843,72,Above Avg
152848,58,Below Avg
152910,79,Above Avg
152911,55,Below Avg
152919,82,Above Avg
153016,82,Above Avg
153120,57,Below Avg
153186,64,Below Avg
153224,74,Above Avg
153352,60,Below Avg
153375,52,Below Avg
153600,72,Above Avg
153636,70,Above Avg
153761,75,Above Avg
154072,68,Above Avg
154132,55,Below Avg
154159,77,Above Avg
154429,69,Above Avg
154532,72,Above Avg
154983,58,Below Avg
155199,74,Above Avg
155275,57,Below Avg
155290,66,Below Avg
155526,67,Above Avg
155662,55,Below Avg
155674,70,Above Avg
155747,76,Above Avg
155754,78,Above Avg
155759,80,Above Avg
155775,68,Above Avg
155818,54,Below Avg
156135,68,Above Avg
156151,78,Above Avg
156244,68,Above Avg
156245,65,Below Avg
156246,76,Above Avg
156265,78,Above Avg
156429,66,Below Avg
156448,68,Above Avg
156493,63,Below Avg
156597,65,Below Avg
156703,82,Above Avg
156812,59,Below Avg
156845,78,Above Avg
156861,67,Above Avg
157024,64,Below Avg
157078,72,Above Avg
157254,68,Above Avg
157352,80,Above Avg
157431,59,Below Avg
157563,53,Below Avg
157702,57,Below Avg
157835,52,Below Avg
157853,69,Above Avg
158015,73,Above Avg
158017,74,Above Avg
158095,69,Above Avg
158159,78,Above Avg
158191,55,Below Avg
158311,61,Below Avg
158433,70,Above Avg
158457,75,Above Avg
158590,63,Below Avg
158876,54,Below Avg
158889,78,Above Avg
158932,81,Above Avg
159239,76,Above Avg
159466,77,Above Avg
159522,62,Below Avg
159556,71,Above Avg
159822,70,Above Avg
159831,76,Above Avg
159904,56,Below Avg
159921,72,Above Avg
159990,69,Above Avg
160116,64,Below Avg
160151,67,Above Avg
160364,77,Above Avg
160405,54,Below Avg
160781,74,Above Avg
161106,62,Below Avg
161543,69,Above Avg
161579,67,Above Avg
161598,76,Above Avg
161768,50,Below Avg
161851,57,Below Avg
161860,67,Above Avg
161881,75,Above Avg
161915,70,Above Avg
161977,73,Above Avg
162019,55,Below Avg
162167,54,Below Avg
162197,74,Above Avg
162236,56,Below Avg
162293,80,Above Avg
162495,60,Below Avg
162663,61,Below Avg
162702,59,Below Avg
162910,58,Below Avg
162976,56,Below Avg
163125,64,Below Avg
163186,60,Below Avg
163261,74,Above Avg
163305,65,Below Avg
163383,58,Below Avg
163614,59,Below Avg
163846,62,Below Avg
163961,62,Below Avg
164200,57,Below Avg
164233,76,Above Avg
164241,77,Above Avg
164423,52,Below Avg
164427,68,Above Avg
164522,74,Above Avg
164631,53,Below Avg
164708,64,Below Avg
164711,59,Below Avg
164735,55,Below Avg
164925,79,Above Avg
165013,51,Below Avg
165053,73,Above Avg
165060,54,Below Avg
165070,77,Above Avg
165094,54,Below Avg
165105,68,Above Avg
165845,65,Below Avg
165864,76,Above Avg
165889,81,Above Avg
165907,77,Above Avg
165928,66,Below Avg
166247,59,Below Avg
166386,81,Above Avg
166496,50,Below Avg
166525,81,Above Avg
166556,67,Above Avg
166573,71,Above Avg
166701,66,Below Avg
166767,66,Below Avg
166830,72,Above Avg
166957,66,Below Avg
166997,68,Above Avg
167105,76,Above Avg
167151,81,Above Avg
167165,51,Below Avg
167192,56,Below Avg
167321,82,Above Avg
167393,75,Above Avg
167434,50,Below Avg
167462,81,Above Avg
167623,79,Above Avg
167648,74,Above Avg
168022,76,Above Avg
168157,67,Above Avg
168319,71,Above Avg
168444,50,Below Avg
168751,77,Above Avg
168834,56,Below Avg
168965,56,Below Avg
169041,79,Above Avg
169075,71,Above Avg
169094,80,Above Avg
169181,68,Above Avg
169188,51,Below Avg
169208,53,Below Avg
169258,71,Above Avg
169306,51,Below Avg
169469,82,Above Avg
169598,59,Below Avg
169759,63,Below Avg
169780,52,Below Avg
169857,76,Above Avg
169935,59,Below Avg
170022,65,Below Avg
170150,58,Below Avg
170156,82,Above Avg
170177,74,Above Avg
170234,55,Below Avg
170263,58,Below Avg
170331,51,Below Avg
170405,59,Below Avg
170574,50,Below Avg
170767,55,Below Avg
171021,58,Below Avg
171150,77,Above Avg
171166,55,Below Avg
171209,81,Above Avg
171309,56,Below Avg
171352,72,Above Avg
171497,59,Below Avg
171508,51,Below Avg
171555,52,Below Avg
171794,65,Below Avg
171841,82,Above Avg
171902,67,Above Avg
171921,72,Above Avg
171971,71,Above Avg
172094,72,Above Avg
172160,65,Below Avg
172161,72,Above Avg
172250,75,Above Avg
172302,56,Below Avg
172362,82,Above Avg
172384,66,Below Avg
172658,76,Above Avg
172724,80,Above Avg
172725,53,Below Avg
172728,77,Above Avg
172741,72,Above Avg
172768,61,Below Avg
173029,52,Below Avg
173114,60,Below Avg
173220,78,Above Avg
173453,71,Above Avg
173550,61,Below Avg
173568,57,Below Avg
173595,52,Below Avg
173637,78,Above Avg
173644,60,Below Avg
173673,68,Above Avg
173714,50,Below Avg
173984,67,Above Avg
174152,82,Above Avg
174295,54,Below Avg
174303,74,Above Avg
174422,66,Below Avg
174497,55,Below Avg
174688,62,Below Avg
174891,50,Below Avg
175084,53,Below Avg
175107,78,Above Avg
175240,51,Below Avg
175254,52,Below Avg
175354,76,Above Avg
175369,58,Below Avg
175378,75,Above Avg
175527,53,Below Avg
175720,74,Above Avg
175826,68,Above Avg
175935,74,Above Avg
175952,60,Below Avg
175979,72,Above Avg
175996,78,Above Avg
176124,79,Above Avg
176139,68,Above Avg
176354,63,Below Avg
176376,60,Below Avg
176541,68,Above Avg
176656,79,Above Avg
176946,64,Below Avg
177122,75,Above Avg
177140,52,Below Avg
177371,57,Below Avg
177580,76,Above Avg
177629,72,Above Avg
177668,70,Above Avg
177793,73,Above Avg
177827,81,Above Avg
177945,76,Above Avg
177994,71,Above Avg
178027,78,Above Avg
178061,53,Below Avg
178075,55,Below Avg
178205,73,Above Avg
178229,64,Below Avg
178313,55,Below Avg
178460,80,Above Avg
178543,57,Below Avg
178585,52,Below Avg
178683,79,Above Avg
178719,60,Below Avg
178787,56,Below Avg
178807,69,Above Avg
178952,67,Above Avg
178965,53,Below Avg
178992,66,Below Avg
179004,58,Below Avg
179081,56,Below Avg
179199,79,Above Avg
179286,81,Above Avg
179317,52,Below Avg
179398,71,Above Avg
179401,69,Above Avg
179451,51,Below Avg
179467,58,Below Avg
179559,66,Below Avg
179617,65,Below Avg
179756,55,Below Avg
179779,76,Above Avg
179844,58,Below Avg
179921,73,Above Avg
180400,80,Above Avg
180454,67,Above Avg
180661,64,Below Avg
180672,50,Below Avg
180747,66,Below Avg
180772,59,Below Avg
180952,76,Above Avg
181031,65,Below Avg
181038,82,Above Avg
181089,80,Above Avg
181122,71,Above Avg
181127,68,Above Avg
181202,65,Below Avg
181274,78,Above Avg
181291,78,Above Avg
181359,50,Below Avg
181528,82,Above Avg
181538,53,Below Avg
181558,78,Above Avg
181622,67,Above Avg
181690,81,Above Avg
181777,69,Above Avg
181825,52,Below Avg
181895,65,Below Avg
182061,58,Below Avg
182149,55,Below Avg
182158,79,Above Avg
182187,54,Below Avg
182298,62,Below Avg
182420,60,Below Avg
182515,76,Above Avg
182686,69,Above Avg
182774,67,Above Avg
182885,80,Above Avg
183024,64,Below Avg
183061,68,Above Avg
183096,59,Below Avg
183245,57,Below Avg
183340,54,Below Avg
183427,62,Below Avg
183439,61,Below Avg
183555,82,Above Avg
183602,72,Above Avg
183671,60,Below Avg
183779,65,Below Avg
183883,63,Below Avg
183898,55,Below Avg
183956,75,Above Avg
184274,79,Above Avg
184346,63,Below Avg
184401,71,Above Avg
184529,59,Below Avg
184532,70,Above Avg
184557,68,Above Avg
184605,77,Above Avg
184652,70,Above Avg
184655,81,Above Avg
184665,57,Below Avg
184777,64,Below Avg
184852,73,Above Avg
184885,81,Above Avg
184965,70,Above Avg
185004,60,Below Avg
185077,72,Above Avg
185100,68,Above Avg
185184,65,Below Avg
185205,67,Above Avg
185367,55,Below Avg
185608,76,Above Avg
185669,50,Below Avg
185981,66,Below Avg
186067,76,Above Avg
186478,69,Above Avg
186503,53,Below Avg
186633,68,Above Avg
186636,53,Below Avg
186717,50,Below Avg
186866,65,Below Avg
187074,65,Below Avg
187163,65,Below Avg
187240,73,Above Avg
187284,59,Below Avg
187323,61,Below Avg
187338,56,Below Avg
187507,70,Above Avg
187586,69,Above Avg
187595,67,Above Avg
187653,73,Above Avg
187680,59,Below Avg
187981,54,Below Avg
188173,67,Above Avg
188198,71,Above Avg
188235,77,Above Avg
188663,68,Above Avg
188697,50,Below Avg
188785,50,Below Avg
188814,50,Below Avg
189131,79,Above Avg
189149,74,Above Avg
189336,58,Below Avg
189545,70,Above Avg
189658,72,Above Avg
189671,61,Below Avg
189720,71,Above Avg
189766,57,Below Avg
189847,63,Below Avg
189869,69,Above Avg
189880,60,Below Avg
190176,56,Below Avg
190471,75,Above Avg
190490,68,Above Avg
190764,65,Below Avg
190873,52,Below Avg
190944,76,Above Avg
190950,78,Above Avg
191020,74,Above Avg
191113,63,Below Avg
191141,64,Below Avg
191165,79,Above Avg
191218,77,Above Avg
191261,65,Below Avg
191302,69,Above Avg
191405,74,Above Avg
191723,72,Above Avg
191726,57,Below Avg
192142,56,Below Avg
192226,64,Below Avg
192232,60,Below Avg
192294,58,Below Avg
192325,70,Above Avg
192495,52,Below Avg
192556,81,Above Avg
192648,80,Above Avg
192676,71,Above Avg
192794,51,Below Avg
192831,64,Below Avg
192994,70,Above Avg
193121,57,Below Avg
193136,71,Above Avg
193223,71,Above Avg
193249,70,Above Avg
193327,75,Above Avg
193332,82,Above Avg
193423,70,Above Avg
193571,69,Above Avg
193796,75,Above Avg
193822,62,Below Avg
193903,64,Below Avg
193933,67,Above Avg
194004,74,Above Avg
194095,50,Below Avg
194291,54,Below Avg
194299,55,Below Avg
194430,71,Above Avg
194452,77,Above Avg
194458,65,Below Avg
194594,70,Above Avg
195013,57,Below Avg
195028,61,Below Avg
195062,81,Above Avg
195100,67,Above Avg
195262,76,Above Avg
195352,82,Above Avg
195519,69,Above Avg
195663,75,Above Avg
195691,53,Below Avg
195759,55,Below Avg
196000,56,Below Avg
196079,63,Below Avg
196081,64,Below Avg
196216,58,Below Avg
196256,60,Below Avg
196312,60,Below Avg
196401,55,Below Avg
196606,51,Below Avg
196703,70,Above Avg
196902,54,Below Avg
196942,70,Above Avg
196973,62,Below Avg
197052,53,Below Avg
197095,52,Below Avg
197150,60,Below Avg
197211,62,Below Avg
197305,72,Above Avg
197377,67,Above Avg
197418,79,Above Avg
197612,79,Above Avg
197817,58,Below Avg
197890,80,Above Avg
197909,73,Above Avg
197923,82,Above Avg
198041,66,Below Avg
198145,67,Above Avg
198297,68,Above Avg
198532,68,Above Avg
198550,77,Above Avg
198711,53,Below Avg
198833,68,Above Avg
198976,74,Above Avg
199054,56,Below Avg
199118,59,Below Avg
199182,65,Below Avg
199210,81,Above Avg
199332,72,Above Avg
199352,54,Below Avg
199455,63,Below Avg
199720,77,Above Avg
199893,54,Below Avg
199975,66,Below Avg
200042,73,Above Avg
200143,74,Above Avg
200184,77,Above Avg
200197,82,Above Avg
200277,66,Below Avg
200479,58,Below Avg
200482,59,Below Avg
200692,58,Below Avg
200734,54,Below Avg
200761,60,Below Avg
200795,77,Above Avg
200905,70,Above Avg
201011,50,Below Avg
201019,65,Below Avg
201027,72,Above Avg
201126,68,Above Avg
201158,76,Above Avg
201258,63,Below Avg
201325,50,Below Avg
201334,66,Below Avg
201425,80,Above Avg
201636,81,Above Avg
201995,66,Below Avg
202022,65,Below Avg
202280,51,Below Avg
202298,66,Below Avg
202461,54,Below Avg
202759,62,Below Avg
203045,57,Below Avg
203050,78,Above Avg
203101,65,Below Avg
203162,74,Above Avg
203168,68,Above Avg
203217,57,Below Avg
203261,65,Below Avg
203342,72,Above Avg
203434,59,Below Avg
203664,76,Above Avg
203726,63,Below Avg
203827,50,Below Avg
203946,71,Above Avg
203971,78,Above Avg
203992,56,Below Avg
203993,71,Above Avg
204018,62,Below Avg
204245,80,Above Avg
204533,80,Above Avg
204670,75,Above Avg
204860,51,Below Avg
204935,58,Below Avg
205009,70,Above Avg
205246,71,Above Avg
205438,59,Below Avg
205713,63,Below Avg
205867,62,Below Avg
205884,50,Below Avg
205885,75,Above Avg
205903,59,Below Avg
205976,76,Above Avg
206023,60,Below Avg
206052,53,Below Avg
206067,69,Above Avg
206354,66,Below Avg
206405,55,Below Avg
206420,77,Above Avg
206506,77,Above Avg
206586,62,Below Avg
206712,77,Above Avg
206717,62,Below Avg
206790,54,Below Avg
206884,55,Below Avg
207085,73,Above Avg
207090,74,Above Avg
207190,80,Above Avg
207209,69,Above Avg
207214,60,Below Avg
207221,63,Below Avg
207247,67,Above Avg
207422,68,Above Avg
207712,77,Above Avg
207789,75,Above Avg
207790,81,Above Avg
207830,76,Above Avg
207868,68,Above Avg
208220,73,Above Avg
208246,61,Below Avg
208370,54,Below Avg
208427,65,Below Avg
208753,67,Above Avg
208872,71,Above Avg
209044,71,Above Avg
209060,63,Below Avg
209080,74,Above Avg
209120,63,Below Avg
209145,55,Below Avg
209292,65,Below Avg
209296,51,Below Avg
209312,66,Below Avg
209345,50,Below Avg
209391,69,Above Avg
209426,62,Below Avg
209468,74,Above Avg
209533,65,Below Avg
209803,58,Below Avg
210127,57,Below Avg
210332,74,Above Avg
210341,67,Above Avg
210401,67,Above Avg
210464,78,Above Avg
210539,61,Below Avg
211047,68,Above Avg
211066,75,Above Avg
211174,52,Below Avg
211192,73,Above Avg
211290,81,Above Avg
211322,59,Below Avg
211324,81,Above Avg
211358,58,Below Avg
211376,71,Above Avg
211464,79,Above Avg
211483,77,Above Avg
211486,56,Below Avg
211491,68,Above Avg
211515,57,Below Avg
211604,80,Above Avg
211737,73,Above Avg
211951,61,Below Avg
212080,73,Above Avg
212127,81,Above Avg
212199,68,Above Avg
212240,75,Above Avg
212306,63,Below Avg
212463,69,Above Avg
212513,75,Above Avg
212606,51,Below Avg
212672,54,Below Avg
212750,61,Below Avg
212885,74,Above Avg
212936,77,Above Avg
212986,65,Below Avg
213059,61,Below Avg
213172,71,Above Avg
213251,77,Above Avg
213775,52,Below Avg
213808,64,Below Avg
213909,54,Below Avg
213929,76,Above Avg
213960,72,Above Avg
214018,60,Below Avg
214139,78,Above Avg
214186,63,Below Avg
214235,68,Above Avg
214367,56,Below Avg
214473,70,Above Avg
215020,61,Below Avg
215072,60,Below Avg
215126,75,Above Avg
215146,73,Above Avg
215264,55,Below Avg
215341,54,Below Avg
215414,75,Above Avg
215601,82,Above Avg
215733,77,Above Avg
215736,61,Below Avg
215785,79,Above Avg
215824,59,Below Avg
215868,80,Above Avg
216014,55,Below Avg
216046,72,Above Avg
216277,66,Below Avg
216279,54,Below Avg
216289,57,Below Avg
216294,50,Below Avg
216365,79,Above Avg
216405,80,Above Avg
216520,60,Below Avg
216566,63,Below Avg
216625,59,Below Avg
216689,69,Above Avg
216706,55,Below Avg
216713,62,Below Avg
216826,80,Above Avg
216914,81,Above Avg
217039,82,Above Avg
217218,63,Below Avg
217286,57,Below Avg
217298,68,Above Avg
217422,77,Above Avg
217493,74,Above Avg
217573,51,Below Avg
