id,species,observed_on,place,user
233509262,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509254,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509253,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509250,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233302525,Northern Diamondback Terrapin,8/1/2024,"Cape May County, US-NJ, US",fishing_429
233146677,Northern Diamondback Terrapin,7/28/2024,United States,radbackedsalamander
232732782,Northern Diamondback Terrapin,7/27/2024,United States,ricknewton
235262783,Northern Diamondback Terrapin,7/26/2024,"Virginia, US",liztrain
231533551,Northern Diamondback Terrapin,7/24/2024,United States,chuckslusarczykjr
231596606,Northern Diamondback Terrapin,7/24/2024,"Virginia, US",malachi_stephens
239608394,Northern Diamondback Terrapin,7/23/2024,United States,elise413
231123056,Northern Diamondback Terrapin,7/21/2024,"New Jersey, US",j-4
259023486,Northern Diamondback Terrapin,7/20/2024,"Connecticut, US",andrewholle
230606199,Northern Diamondback Terrapin,7/20/2024,United States,ceeburd
230578859,Northern Diamondback Terrapin,7/20/2024,United States,billthompson0001
230264945,Northern Diamondback Terrapin,7/19/2024,"Fenwick Island, Bethany Beach, DE, US",jacobi
230424776,Northern Diamondback Terrapin,7/18/2024,"Harwood, MD 20776, USA",sercfisheries
233586095,Northern Diamondback Terrapin,7/18/2024,"New Jersey, US",neild
231535743,Northern Diamondback Terrapin,7/16/2024,"New Jersey, US",megan1567
230080502,Northern Diamondback Terrapin,7/16/2024,"Virginia, US",spacefatty
230080501,Northern Diamondback Terrapin,7/16/2024,"Virginia, US",spacefatty
229759433,Northern Diamondback Terrapin,7/15/2024,"Assateague Island, MD, US",abbyhastings
260085482,Northern Diamondback Terrapin,7/15/2024,"Connecticut, US",avamaria91099
229293212,Northern Diamondback Terrapin,7/14/2024,"New Jersey, US",smartinbiologist
229094522,Northern Diamondback Terrapin,7/13/2024,"New Jersey, US",stellaleia
229091497,Northern Diamondback Terrapin,7/13/2024,"New Jersey, US",stellaleia
229148029,Northern Diamondback Terrapin,7/13/2024,"New Jersey, US",bobbar
229080659,Northern Diamondback Terrapin,7/13/2024,"New Jersey, US",stellaleia
229079426,Northern Diamondback Terrapin,7/13/2024,"New Jersey, US",stellaleia
229077914,Northern Diamondback Terrapin,7/13/2024,"New Jersey, US",stellaleia
229049864,Northern Diamondback Terrapin,7/13/2024,"New Jersey, US",fishandfossils
228862681,Northern Diamondback Terrapin,7/12/2024,"New Jersey, US",smartinbiologist
229604805,Northern Diamondback Terrapin,7/12/2024,"New Jersey, US",smartinbiologist
259087616,Northern Diamondback Terrapin,7/11/2024,"Indian Pt (private), Bozman, Talbot County, MD, USA",donna_wadsley
228602517,Northern Diamondback Terrapin,7/11/2024,"New Jersey, US",mccall05
228543109,Northern Diamondback Terrapin,7/10/2024,"Brooks Creek, Cambridge, MD, US",laynem25
228489357,Northern Diamondback Terrapin,7/10/2024,"New Jersey, US",dlucca
228476289,Northern Diamondback Terrapin,7/10/2024,"New Jersey, US",crittercontent
228472341,Northern Diamondback Terrapin,7/10/2024,"Virginia, US",geragotelis
228439508,Northern Diamondback Terrapin,7/10/2024,"New Jersey, US",lrburger
228526992,Northern Diamondback Terrapin,7/10/2024,"New Jersey, US",h_456
228341939,Northern Diamondback Terrapin,7/9/2024,"New Jersey, US",bert_filemyr
228120129,Northern Diamondback Terrapin,7/8/2024,United States,lunasun
228026207,Northern Diamondback Terrapin,7/8/2024,"New Jersey, US",lrburger
228424621,Northern Diamondback Terrapin,7/8/2024,United States,devonderaad
228322491,Northern Diamondback Terrapin,7/8/2024,"Virginia, US",kellyisgreen
228878629,Northern Diamondback Terrapin,7/8/2024,United States,ricknewton
238070377,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",larivera
227797321,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",l_zar24
227796988,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",l_zar24
227793445,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",l_zar24
227792793,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",l_zar24
227791031,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",l_zar24
227790802,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",l_zar24
227734196,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",lili_razi
227733974,Northern Diamondback Terrapin,7/7/2024,"New Jersey, US",lili_razi
237914956,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",larivera
227549007,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227546281,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227545600,Northern Diamondback Terrapin,7/6/2024,"Cape May County, US-NJ, US",pst16
227545568,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227544883,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227543400,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227542870,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227540469,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227538337,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227535874,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227535326,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227534923,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",pmiddaugh
227527716,Northern Diamondback Terrapin,7/6/2024,"New Jersey, US",thinwasp
228282273,Northern Diamondback Terrapin,7/5/2024,"Virginia, US",ditchontologist
234567048,Northern Diamondback Terrapin,7/5/2024,"Connecticut, US",tmac52
227317339,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227316337,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227315909,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227315367,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227314503,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227313647,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227313630,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227311689,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227311575,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227310147,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227310029,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227307016,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227305618,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227305565,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227305605,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227303624,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227302944,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227301501,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227302183,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227299556,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227298943,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",lrburger
227297536,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227295068,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",mlrp
227291450,Northern Diamondback Terrapin,7/5/2024,United States,cflatow
227437002,Northern Diamondback Terrapin,7/5/2024,United States,liamodo
227278767,Northern Diamondback Terrapin,7/5/2024,"New Jersey, US",deborahrowan
227143151,Northern Diamondback Terrapin,7/4/2024,"New Jersey, US",stellaleia
227136142,Northern Diamondback Terrapin,7/4/2024,"New Jersey, US",stellaleia
227142582,Northern Diamondback Terrapin,7/4/2024,"New Jersey, US",stellaleia
227136595,Northern Diamondback Terrapin,7/4/2024,"New Jersey, US",stellaleia
227132862,Northern Diamondback Terrapin,7/4/2024,"New Jersey, US",stellaleia
227344482,Northern Diamondback Terrapin,7/4/2024,"New Jersey, US",sabre625
257255532,Northern Diamondback Terrapin,7/3/2024,United States,andrewgiusti23
226990972,Northern Diamondback Terrapin,7/3/2024,"Little Creek, DE 19901, USA",bert_filemyr
227026064,Northern Diamondback Terrapin,7/3/2024,United States,adbio
226910942,Northern Diamondback Terrapin,7/3/2024,United States,plantfella
226906626,Northern Diamondback Terrapin,7/3/2024,United States,cathrineobrien
226909544,Northern Diamondback Terrapin,7/3/2024,United States,plantfella
226809594,Northern Diamondback Terrapin,7/2/2024,"New Jersey, US",mccall05
226763217,Northern Diamondback Terrapin,7/2/2024,United States,toni81
226742784,Northern Diamondback Terrapin,7/2/2024,"Cape May County, US-NJ, US",donutage
226736435,Northern Diamondback Terrapin,7/2/2024,"New Jersey, US",allieninfa
226735984,Northern Diamondback Terrapin,7/2/2024,"New Jersey, US",allieninfa
226720769,Northern Diamondback Terrapin,7/2/2024,"Virginia, US",restodrood
228526993,Northern Diamondback Terrapin,7/2/2024,"New Jersey, US",h_456
227665307,Northern Diamondback Terrapin,7/2/2024,"New Jersey, US",slsfirefight
231503887,Northern Diamondback Terrapin,7/2/2024,"New Jersey, US",cynthia_varamo
235662101,Northern Diamondback Terrapin,7/2/2024,United States,bev435
228077726,Northern Diamondback Terrapin,7/2/2024,"Cape May County, US-NJ, US",mmmmbugs
226653682,Northern Diamondback Terrapin,7/2/2024,"New Jersey, US",deeholden
228080387,Northern Diamondback Terrapin,7/2/2024,"Cape May County, US-NJ, US",mmmmbugs
226504302,Northern Diamondback Terrapin,7/1/2024,United States,zadremala
226486144,Northern Diamondback Terrapin,7/1/2024,United States,muse_monkey
226698611,Northern Diamondback Terrapin,7/1/2024,"New Jersey, US",fishing_429
226790428,Northern Diamondback Terrapin,7/1/2024,"Connecticut, US",laneysmith
226473340,Northern Diamondback Terrapin,7/1/2024,"Virginia, US",stricky228
226698556,Northern Diamondback Terrapin,7/1/2024,"New Jersey, US",fishing_429
226528821,Northern Diamondback Terrapin,7/1/2024,"New Jersey, US",davidenrique
